Event Link:,bit.ly/July2025DDC
Event Duration:,"1st July 2025, 00:00 – 31st July 2025, 23:59 PM (GMT+8)"
Round Update: ,"July 1, 2025 00:00 (GMT +8) - July 25, 12:00 PM (GMT +8)"
IGN ,RoundCount
ClydenJaile,15
clyfe,5822
clzx,79
CMEnzy,22
CMRei,1
cmz,40
CnWhite,30
cnz,3
coaal,24
Cobee,504
COCAINE,522
Cocogoat,42
Code,89
Codie,32
coff,2
CoffeeAngel,247
COFI,10
Cogliostro,312
Coheee,12
CohlyynRae,559
coi,76
Coke03,78
cola,528
coldmint,64
coldplay,51
ColePH,117
Colgate,15
colla,20
Colton,515
Colzz,5
Comet,38
cone,1
Conq9iJenz,2
ConsoleLog,1133
cooK1z,3
cooldr1ve,3
coors,61
COORS,92
cores,10
Cori,2117
Corinne,47
corlys,340
cornbread,48
Cornersmo,33
Cornettooo,199
Cornhub,60
Corrine,3
Cortez,821
cortez,11
Corvus,67
Cosine,9419
Cosmia,8
CottoN,88
Craig,9311
Cranel,1
CreAmpie,282
Creme,77
Cresil,1
CREXOUS,140
cries,315
Criio,8
Criselly,2263
Crispybibi,132
Crissa,100
Crk,110
crm,20
crocs,513
cronus,21
Crowe,953
crsta,11
Crusher,70
crust,294
crys,199
cryst,44
crystelitas,3
CsF,214
Csor,109
Csyl,15
cube,2
Cubi,1431
cuddle,710
Cuddles,1
Cuffly,2
CUTE09,2
CuteMe,66
Cutephobia,244
cutiechubz,134
Cxa,59
cxi,724
Cxsy,433
cxx,494
Cxzy,354
CY,239
cyan,15
cyanix,42
Cyclone,553
Cyen,5
cyg,135
Cyla,59
Cyle,320
Cylx,8
Cymry,10
cyn,111
Cyno,69
Cynu,6
Cynx,15
Cypnus,48
cyra,698
Cyrile,1
cyrile,13
cyrl,270
cyro,633
cyrs,179
Cytheris,1
CYX,133
Cyys,75
cyzx,582
cza,378
Czar,27
cze,52
Czeirra,391
Czelestia,58
Czelestin,34
Czeraphine,114
Czerene,1196
Czereno,1359
Czewyn,25
Czhel,526
Czib,14
Czsy,167
Czuczu,2
Czui,43
Czxy,129
da,43
Da,29
Da~,604
Daba,41
Dada~,130
daddi,10
DaddyDean,410
DaddySiopao,307
dadirri,11
Daem,1
Daemon,99
Daemon~,845
daewong,1171
dage,72
Dahh,98
DahIia,8
dahliaa,126
dailyn,7970
Daina,59
DAING,44
daiwozo,6118
Dal,27
dale,411
dalgom,624
Dalia,105
Daliah,88
dallas,78
dally,84
Danasaur,20
Danasauuur,118
dancingduck,1
DancingTITI,813
dane,217
Daneee,11
dani,15967
Danieeeeeeel,36
Daniele,252
DanielSG,103
Danii,4645
danii,2
Danju,66
Danna,908
DannaSaur,308
Danosaur,113
Danx,105
darien,7901
DaRkAnGeL,20
Darkspace,2
DarrenJohn,70
darryl,259
Dasal,1
Dash,1215
Dash2,679
Dash3,34
dastin,146
Dats,49
Daun,2705
DAve,366
Daveen,72
Daven,2164
davis,77
Dawnys,11613
Daximization,9
Dayanggi,161
Dayea,319
dayna,10
dayriel,24
Dayum,70
Dazbee,5
dazed,73
dbb,7682
Dbs,2
dbtk,330
ddd111,7
Dea,33
DeAckerman,2
deadlysins,140
Dealer,217
Deamon~,813
DEAN~,527
DEANDRE,194
Deani,111
Deathcore,114
Deathh,23
debbie,233
Debskieee,102
Debsuzzee,19
deci,10
Declan,18
Declipse,32
dedrip,3
Deecee,1
Deeeyon,64
DeejayDomz,39
Deew,142
Deeznuts,98
defnothan,1
deft,12
dei,12
Deia,230
deib,107
Deirdre,74
Deki,16
Delicate19,1
delirious,155
delulu,70
Demetris,562
Demetrius,502
Demetriyo,630
demise,3
demorari,46
demyz,3465
Dendei,423
Dendii,9
Denji,907
Denna,4
Densio,32
deok,391
DEON,79
deoxys,14
derfla,28
Derricka,20
derricka,24
DERRICKA,26
Derricks,10
desire,50
desmund,10
Despair,657
Despise,4
deus,58
DevilDeath,557
DevilyueH,214
Deviruchi,828
Devx,26
Dewey,5
DeyPH,102
Dezz,245
dh,33
DHCP,24
Dhritii,1426
Dhs,19
Diaeresis,58
Diah,11616
Dianna,9
Dibs,70
Diddie,23
Didier,57
Didit,45
die,11
Diether,37
dieu,56
dilly,76
Diluc,14
dimebag1966,1
dimorari,883
DiMpLe,2237
dimun,56
DiNDiN,19
Dinn,747
Dinoo,606
Dinou,29
dio,34
dion,3
dioxys,24
Distraught,122
Ditto,21
diulei,1
div03,91
diverse,1529
DivGB,52
Diviana,495
Dixie,9346
Diyes,1
dk1,11
dkdc,250
Dleihskoorb,17
DlNO,56
Dlx,453
dmng,94
dni,18
Dnii,297
dnum,10
doc,276
Dod,150
Dodoria,2950
Doggo,27
doie,289
Doke,1
dolce,45
Doldilocks,44
dolor,142
Domainic,74
Dominance,9
Dominic,32
dominiq,1
Domnyc,11765
domorari,790
donald,80
Dondi,4
donie,19
Donnavan,60
dono,38
Donsky,399
dontaskmepls,10
dontplayplay,46
Donut,36
donutloveme,2
doodlydonkey,56
DooDoo,1
doozie,79
dopamine,4
Doraemon~,220
Doramichan,16
Dorayaki,10
Douchee,168
doy,66
Doz,17
dq,344
Dr34mz,2
DracoXChase,1
draculaura,793
Drade,18
Drago,2
dragonel,9
DrCloudz,230
dreaaa,112
DREAM,21
Dreeddy,6
DreeM,15
Drei,12
Drewan,4
DreXerD,3
dreyy,5
DRICC,21
Drink,39
Drixxu,10
Druid,271
Drw,7
DRY,35
Dryad,552
drypants,83
dsy,382
Dubi,6
Dubilier,332
Dubs,96
duda,340
dui,116
DUKE,21
Dukesa,21
dum,22
dumb,1486
Dumphy,471
Duna,3038
DunkinD,199
dupr,283
Durrrr,9
Dushruchi,335
Dust~,19
Duz,13
dvc,16
Dvion,36
DWDANNY,71
dwealle,16
